Funcion Seno,,,,
Arquitectura,Media Error Train,Desv.Tipica Error Train,Media Error Test,Desv. Tipica Error Test
1,0.0297282,3.08475e-05,0.0365526,0.000360624
2,0.029529,0.000411965,0.0363783,0.000223319
3,0.0294088,0.000534317,0.03617,0.000366612
4,0.0290472,0.000360613,0.0360009,0.000806839
5,0.0280052,0.000322043,0.0352727,0.000584671
6,0.0285983,0.000986158,0.036288,0.000428383
7,0.0297237,4.24326e-05,0.036248,0.000170634
8,0.0297821,3.06686e-05,0.0362179,0.000150539
9,0.0299407,0.000118453,0.036485,0.000630194
10,0.0296178,0.000648769,0.0361732,0.000585756
11,0.0269406,0.00080941,0.0340395,0.000834419
12,0.0259549,0.00480641,0.0340658,0.00481692
