Arquitectura,Media Er. Train,Desv. T. Er. Train,Media Er. Test,Desv. T. Er. Test
{n:4:k},0.0523403,0.00538158,0.139305,0.0187206
{n:8:k},0.0256253,0.00291078,0.110479,0.00660139
{n:16:k},0.00994237,0.0015696,0.118492,0.0120194
{n:64:k},0.00109002,0.000125972,0.122369,0.0105796
{n:4:4:k},0.000159996,9.80584e-06,0.000159992,1.14689e-05
{n:8:8:k},0.000119461,1.5547e-05,0.000120805,1.70607e-05
{n:16:16:k},7.18323e-05,6.70321e-06,7.36167e-05,7.53523e-06
{n:64:64:k},2.38154e-05,1.46413e-06,2.48908e-05,3.37694e-06
,,,,
Arquitectura,Media CCR Train,Desv. T. CCR Train,Media CCR Test,Desv. T. CCR Test
{n:4:k},91.4222,0.579485,78.2,2.77489
{n:8:k},95.8444,0.887499,83.8667,1.70945
{n:16:k},98.6444,0.403687,83.6,0.641179
{n:64:k},100,0,84.4,1.01105
{n:4:4:k},17.0444,0.848383,16,2.74874
{n:8:8:k},20.5333,6.23085,19.4667,6.0855
{n:16:16:k},26.8,4.32578,24.6667,6.27163
{n:64:64:k},20.5556,5.31885,21.0667,4.84997
